Algorithm,Anonymised Labels,Author,Column Name,Column Type,Description,File type,Image dimension,Keywords,License,No Columns,No Rows,Number of Downloads,Number of Views,Size,Summary,Title,URL,Update
"[Classification,  recommendation]",,M. Defferrard et al.,,,,Text  MP3,,,,,106574,,,,"Audio under Creative Commons from 100k songs (343 days, 1TiB) with a hierarchy of 161 genres, metadata, user data, free-form text.",Free Music Archive,,2017
[Classification],,D. Radicioni et al.,,,,Text,,,,,5665,,,,Bach chorale chords.,Bach Choral Harmony Dataset,,2014
[Classification],,J. Salamon et al.,,,,"Sound
(WAV)
",,,,,1059,,,,"Labeled sound recordings of sounds like air conditioners, car horns and children playing.",UrbanSound,,2014
[Classification],,"J. Gemmeke et al., Google",,,,Text (CSV) and TensorFlow Record files,,,,,2084320,,,,"10-second sound snippets from YouTube videos, and an ontology of over 500 labels.",AudioSet,,2017
[Classification],,Center for Applied Internet Data Analysis,,,,Text,,,,,"55,909 IP addresses",,,,Dataset detailing the spread of the Witty worm and the infected computers.,Witty Worm Dataset,,2004
"[Classification,  regression]",,M. Kachuee et al.,,,,Text,,,,,12000,,,,Cleaned vital signals from human patients which can be used to estimate blood pressure.,Cuff-Less Blood Pressure Estimation Dataset,,2015
[Classification],,A. Vergara,,,,Text,,,,,13910,,,,Measurements from 16 chemical sensors utilized in simulations for drift compensation.,Gas Sensor Array Drift Dataset,,2012
[Regression],,K. Ullrich,,,,Text,,,,,167,,,,Data covering the nonlinear relationships observed in a servo-amplifier circuit.,Servo Dataset,,1993
"[Classification,  regression,  clustering]",,D. Rambla et al.,,,,Text,,,,,40000,,,,Indoor localization database to test indoor positioning systems. Data is magnetic field based.,UJIIndoorLoc-Mag Dataset,,2015
[Classification],,M. Bator,,,,Text,,,,,58508,,,,Electrical signals from motors with defective components.,Sensorless Drive Diagnosis Dataset,,2015
[Classification],,Pontifical Catholic University of Rio de Janeiro,,,,Text,,,,,165632,,,,People performing five standard actions while wearing motion tackers.,Wearable Computing: Classification of Body Postures and Movements (PUC-Rio),,2013
"[Classification,  clustering]",,R. Madeo et a,,,,Text,,,,,9900,,,,Features extracted from video of people doing various gestures.,Gesture Phase Segmentation Dataset,,2014
[Classification],,T. Theodoridis,,,,Text,,,,,3000,,,,10 normal and 10 aggressive physical actions that measure the human activity tracked by a 3D tracker.,Vicon Physical Action Data Set Dataset,,2011
[Classification],,B. Barshan et al.,,,,Text,,,,,9120,,,,Motor sensor data for 19 daily and sports activities.,Daily and Sports Activities Dataset,,2013
[Classification],,J. Reyes-Ortiz et al.,,,,Text,,,,,10299,,,,Gyroscope and accelerometer data from people wearing smartphones and performing normal actions.,Human Activity Recognition Using Smartphones Dataset,,2012
[Classification],,M. Kadous,,,,Text,,,,,2565,,,,Australian sign language signs captured by motion-tracking gloves.,Australian Sign Language Signs,,2002
[Classification],,W. Ugulino et al.,,,,Text,,,,,39242,,,,Five variations of the biceps curl exercise monitored with IMUs.,Weight Lifting Exercises monitored with Inertial Measurement Units,,2013
[Classification],,C. Sapsanis et al.,,,,Text,,,,,3000,,,,Two databases of surface electromyographic signals of 6 hand movements.,sEMG for Basic Hand movements Dataset,,2014
[Classification],,O. Banos et al.,,,,Text,,,,,1419,,,,Evaluate techniques dealing with the effects of sensor displacement in wearable activity recognition.,REALDISP Activity Recognition Dataset,,2014
"[Classification,  clustering]",,A. Stisen et al.,,,,Text,,,,,43930257,,,,Data from multiple different smart devices for humans performing various activities.,Heterogeneity Activity Recognition Dataset,,2015
[Classification],,D. Bacciu,,,,Text,,,,,13197,,,,Temporal wireless network data that can be used to track the movement of people in an office.,Indoor User Movement Prediction from RSS Data,,2016
[Classification],,A. Reiss,,,,Text,,,,,3850505,,,,18 different types of physical activities performed by 9 subjects wearing 3 IMUs.,PAMAP2 Physical Activity Monitoring Dataset,,2012
[Classification],,D. Roggen et al.,,,,Text,,,,,2551,,,,"Human Activity Recognition from wearable, object, and ambient sensors is a dataset devised to benchmark human activity recognition algorithms.",OPPORTUNITY Activity Recognition Dataset,,2012
[Classification],,T. Sztyler et al.,,,,Text,,,,,"3,150,000 (per sensor)",,,,Human Activity Recognition from wearable devices. Distinguishes between seven on-body device positions and comprises six different kinds of sensors.,Real World Activity Recognition Dataset,,2016
"[Classification,  regression]",,M. Forina et al.,,,,Text,,,,,178,,,,Chemical analysis of wines grown in the same region in Italy but derived from three different cultivars.,Wine Dataset,,1991
[Regression],,P. Tufekci et al.,,,,Text,,,,,9568,,,,Data from various sensors within a power plant running for 6 years.,Combined Cycle Power Plant Data Set,,2014
[Classification],,D. Whiteson,,,,Text,,,,,11M,,,,Monte Carlo simulations of particle accelerator collisions.,HIGGS Dataset,,2014
[Classification],,D. Whiteson,,,,Text,,,,,10500000,,,,Monte Carlo simulations of particle accelerator collisions. Goal is to separate the signal from noise.,HEPMASS Dataset,,2016
[Regression],,R. Lopez,,,,Text,,,,,308,,,,Yacht performance based on dimensions.,Yacht Hydrodynamics Dataset,,2013
[Classification],,L. Seabra et al.,,,,Text,,,,,463,,,,5 data sets that center around robotic failure to execute common tasks.,Robot Execution Failures Dataset,,1999
[Classification],,Y. Reich et al.,,,,Text,,,,,108,,,,Design description is given in terms of several properties of various bridges.,Pittsburgh Bridges Dataset,,1990
[Regression],,J. Schimmer et al.,,,,Text,,,,,205,,,,"Data about automobiles, their insurance risk, and their normalized losses.",Automobile Dataset,,1987
[Regression],,Carnegie Mellon University,,,,Text,,,,,398,,,,MPG data for cars.,Auto MPG Dataset,,1993
"[Classification,  regression]",,A. Xifara et al.,,,,Text,,,,,768,,,,Heating and cooling requirements given as a function of building parameters.,Energy Efficiency Dataset,,2012
[Regression],,R. Lopez,,,,Text,,,,,1503,,,,A series of aerodynamic and acoustic tests of two and three-dimensional airfoil blade sections.,Airfoil Self-Noise Dataset,,2014
[Regression],,D. Draper et al.,,,,Text,,,,,23,,,,Attempt to predict O-ring problems given past Challenger data.,Challenger USA Space Shuttle O-Ring Dataset,,1993
[Classification],,NASA,,,,Text,,,,,58000,,,,NASA space shuttle datasets.,Statlog (Shuttle) Dataset,,2002
[Classification],,M. Burl,,,,Images,,,,,not given,,,,Venus images returned by the Magellan spacecraft.,Volcanoes on Venus – JARtool experiment Dataset,,1991
[Classification],,R. Bock,,,,Text,,,,,19020,,,,Monte Carlo generated high-energy gamma particle events.,MAGIC Gamma Telescope Dataset,,2007
"[Regression,  classification]",,G. Bradshaw,,,,Text,,,,,1389,,,,Measurements of the number of certain types of solar flare events occurring in a 24-hour period.,Solar Flare Dataset,,1989
"[Regression,  classification]",,E. Venzke et al.,,,,Text,,,,,1535,,,,Volcanic eruption data for all known volcanic events on earth.,Volcanoes of the World,,2013
[Classification],,M. Sikora et al.,,,,Text,,,,,2584,,,,Seismic activities from a coal mine.,Seismic-bumps Dataset,,2013
[Regression],,I. Yeh,,,,Text,,,,,1030,,,,Dataset of concrete properties and compressive strength.,Concrete Compressive Strength Dataset,,2007
[Regression],,I. Yeh,,,,Text,,,,,103,,,,Concrete slump flow given in terms of properties.,Concrete Slump Test Dataset,,2009
[Classification],,Arris Pharmaceutical Corp.,,,,Text,,,,,6598,,,,"Predict if a molecule, given the features, will be a musk or a non-musk.",Musk Dataset,,1994
[Classification],,Semeion Research Center,,,,Text,,,,,1941,,,,Steel plates of 7 different types.,Steel Plates Faults Dataset,,2010
[Classification],,H. Begleiter,,,,Text,,,,,122,,,,Study to examine EEG correlates of genetic predisposition to alcoholism.,EEG Database,,1999
[Classification],,U. Hoffman et al.,,,,Text,,,,,1224,,,,Data from nine subjects collected using P300-based brain-computer interface for disabled subjects.,P300 Interface Dataset,,2008
[Classification],,A. Janosi et al.,,,,Text,,,,,303,,,,Attributed of patients with and without heart disease.,Heart Disease Data Set,,1988
[Classification],,W. Wolberg et al.,,,,Text,,,,,569,,,,Dataset of features of breast masses. Diagnoses by physician is given.,Breast Cancer Wisconsin (Diagnostic) Dataset,,1995
"[Classification,  regression]",,United States Department of Health and Human Services,,,,Text,,,,,55268,,,,Large scale survey on health and drug use in the United States.,National Survey on Drug Use and Health,,2012
[Classification],,Z. Hong et al.,,,,Text,,,,,32,,,,Lung cancer dataset without attribute definitions,Lung Cancer Dataset,,1992
[Classification],,H. Altay et al.,,,,Text,,,,,452,,,,"Data for a group of patients, of which some have cardiac arrhythmia.",Arrhythmia Dataset,,1998
"[Classification,  clustering]",,J. Clore et al.,,,,Text,,,,,100000,,,,9 years of readmission data across 130 US hospitals for patients with diabetes.,Diabetes 130-US hospitals for years 1999–2008 Dataset,,2014
[Classification],,B. Antal et al.,,,,Text,,,,,1151,,,,Features extracted from images of eyes with and without diabetic retinopathy.,Diabetic Retinopathy Debrecen Dataset,,2014
"[Classification,  Segmentation]",,Messidor Project,,,,Images Text,,,,,1200,,,,Methods to evaluate segmentation and indexing techniques in the field of retinal ophthalmology (MESSIDOR),Diabetic Retinopathy Messidor Dataset,,2008
[Classification],,Bupa Medical Research Ltd.,,,,Text,,,,,345,,,,Data for people with liver disorders.,Liver Disorders Dataset,,1990
[Classification],,R. Quinlan,,,,Text,,,,,7200,,,,10 databases of thyroid disease patient data.,Thyroid Disease Dataset,,1987
[Classification],,A. Tanrikulu et al.,,,,Text,,,,,324,,,,Mesothelioma patient data.,Mesothelioma Dataset,,2016
"[Classification,  clustering,  regression]",,M. Naeem et al.,,,,Text,,,,,65554,,,,Network of metabolic pathways. A reaction network and a relation network are given.,KEGG Metabolic Reaction Network (Undirected) Dataset,,2011
[Regression],,Marine Research Laboratories – Taroona,,,,Text,,,,,4177,,,,Physical measurements of Abalone. Weather patterns and location are also given.,Abalone Dataset,,1995
[Classification],,R. Forsyth,,,,Text,,,,,101,,,,Artificial dataset covering 7 classes of animals.,Zoo Dataset,,1990
[Classification],,E. Armengol et al.,,,,Text,,,,,503,,,,Data about marine sponges.,Demospongiae Dataset,,2010
[Classification],,G. Towell et al.,,,,Text,,,,,3190,,,,Primate splice-junction gene sequences (DNA) with associated imperfect domain theory.,Splice-junction Gene Sequences Dataset,,1992
"[Classification,  Clustering]",,C. Higuera et al.,,,,Text,,,,,1080,,,,Expression levels of 77 proteins measured in the cerebral cortex of mice.,Mice Protein Expression Dataset,,2015
[Regression],,P. Cortez et al.,,,,Text,,,,,517,,,,Forest fires and their properties.,Forest Fires Dataset,,2008
[Classification],,R. Fisher,,,,Text,,,,,150,,,,Three types of iris plants are described by 4 different attributes.,Iris Dataset,,1936
[Classification],,J. Cope et al.,,,,Text,,,,,1600,,,,Sixteen samples of leaf each of one-hundred plant species.,Plant Species Leaves Dataset,,2012
[Classification],,J. Schlimmer,,,,Text,,,,,8124,,,,Mushroom attributes and classification.,Mushroom Dataset,,1987
[Classification],,R. Michalski et al.,,,,Text,,,,,307,,,,Database of diseased soybean plants.,Soybean Dataset,,1988
"[Classification,  clustering]",,Charytanowicz et al.,,,,Text,,,,,210,,,,Measurements of geometrical properties of kernels belonging to three different varieties of wheat.,Seeds Dataset,,2012
[Classification],,J. Blackard et al.,,,,Text,,,,,581012,,,,Data for predicting forest cover type strictly from cartographic variables.,Covertype Dataset,,1998
[Causal-discovery],,J. Jenkens et al.,,,,Text,,,,,300,,,,Data for a plant signaling network. Goal is to determine set of rules that governs the network.,Abscisic Acid Signaling Network Dataset,,2008
"[Classification,  clustering]",,T. Munisami et al.,,,,Images  text,,,,,637,,,,20 photos of leaves for each of 32 species.,Folio Dataset,,2015
[Classification],,M-E Nilsback et al.,,,,Images  text,,,,,1360,,,,17 category dataset of flowers.,Oxford Flower Dataset,,2006
"[Classification,  detection]",,Giselsson et al.,,,,Images,,,,,5544,,,,12 category dataset of plant seedlings.,Plant Seedlings Dataset,,2017
[Classification],,"Horea Muresan, Mihai Oltean",,,,Images (jpg),,,,,38409,,,,"60 Fruits: Apples - (different varieties: Golden, Golden-Red, Granny Smith, Red, Red Delicious), Apricot, Avocado, Avocado ripe, Banana (Yellow, Red), Cactus fruit, Carambula, Cherry, Clementine, Cocos, Dates, Granadilla, Grape (Pink, White, White2), Grapefruit (Pink, White), Guava, Huckleberry, Kiwi, Kaki, Kumsquats, Lemon (normal, Meyer), Lime, Litchi, Mandarine, Mango, Maracuja, Nectarine, Orange, Papaya, Passion fruit, Peach, Pepino, Pear (different varieties, Abate, Monster, Williams), Pineapple, Pitahaya Red, Plum, Pomegranate, Quince, Raspberry, Salak, Strawberry, Tamarillo, Tangelo.",Fruits 360 Dataset,,2017
[Classification],,K. Nakai et al.,,,,Text,,,,,336,,,,Protein localization sites.,Ecoli Dataset,,1996
[Classification],,P. Mahe et al.,,,,Text,,,,,931,,,,Identification of microorganisms from mass-spectrometry data.,MicroMass Dataset,,2013
[Classification],,K. Nakai et al.,,,,Text,,,,,1484,,,,Predictions of Cellular localization sites of proteins.,Yeast Dataset,,1996
[Classification],,A. Mayr et al.,,,,Text,,,,,12707,,,,Prediction of outcome of biological assays.,Tox21 Dataset,,2016
[Anomaly detection],,Numenta,,,,Comma separated values,,,,,50+ files,,,,"Data are ordered, timestamped, single-valued metrics. All data files contain anomalies, unless otherwise noted.",Numenta Anomaly Benchmark (NAB),,2016 (continually updated)
[Anomaly detection],,Campos et al.,,,,ARFF,,,,,1000+ files,,,,"Most data files are adapted from UCI Machine Learning Repository data, some are collected from the literature.","On the Evaluation of Unsupervised Outlier Detection: Measures, Datasets, and an Empirical Study",,2016 (possibly updated with new datasets and/or results)
[Question Answering],,"Hartmann, Soru, and Marx et al.",,,,Question-query pairs,,,,,894499,,,,A large collection of Question to SPARQL specially design for Open Domain Neural Question Answering over DBpedia Knowledgebase.,DBpedia Neural Question Answering (DBNQA) Dataset,,2018
"[Classification,  regression,  Time series]",,M. Brown et al.,,,,Comma separated values,,,,,750,,,,Weekly data of stocks from the first and second quarters of 2011.,Dow Jones Index,,2014
[Classification],,R. Quinlan,,,,Comma separated values,,,,,690,,,,Credit card applications either accepted or rejected and attributes about the application.,Statlog (Australian Credit Approval),,1987
"[Regression,  classification]",,G. Shmueli et al.,,,,Text,,,,,~ 550,,,,Auction data from various eBay.com objects over various length auctions,eBay auction data,,2012
[Classification],,H. Hofmann,,,,Text,,,,,690,,,,"Binary credit classification into ""good"" or ""bad"" with many features",Statlog (German Credit Data),,1994
[Classification],,S. Moro et al.,,,,Text,,,,,45211,,,,Data from a large marketing campaign carried out by a large bank .,Bank Marketing Dataset,,2012
"[Classification,  regression]",,O. Akbilgic,,,,Text,,,,,536,,,,Several stock indexes tracked for almost two years.,Istanbul Stock Exchange Dataset,,2013
[Classification],,I. Yeh,,,,Text,,,,,30000,,,,Credit default data for Taiwanese creditors.,Default of Credit Card Clients,,2016
"[Classification,  clustering]",,P. Collard,,,,Text,,,,,1024,,,,Data about 1024 different clouds.,Cloud DataSet,,1989
[Regression],,Pacific Marine Environmental Laboratory,,,,Text,,,,,178080,,,,Oceanographic and surface meteorological readings taken from a series of buoys positioned throughout the equatorial Pacific.,El Nino Dataset,,1999
[Regression],,D. Lucas,,,,Text,,,,,2921,,,,Time-series of greenhouse gas concentrations at 2921 grid cells in California created using simulations of the weather.,Greenhouse Gas Observing Network Dataset,,2015
[Regression],,Mauna Loa Observatory,,,,Text,,,,,44 years,,,,"Continuous air samples in Hawaii, USA. 44 years of records.",Atmospheric CO2 from Continuous Air Samples at Mauna Loa Observatory,,2001
[Classification],,Johns Hopkins University,,,,Text,,,,,351,,,,Radar data from the ionosphere. Task is to classify into good and bad radar returns.,Ionosphere Dataset,,1989
[Classification],,K. Zhang et al.,,,,Text,,,,,2536,,,,Two ground ozone level datasets.,Ozone Level Detection Dataset,,2008
[Classification],,United States Census Bureau,,,,Comma separated values,,,,,48842,,,,Census data from 1994 containing demographic features of adults and their income.,Adult Dataset,,1996
[Classification],,United States Census Bureau,,,,Comma separated values,,,,,299285,,,,Weighted census data from the 1994 and 1995 Current Population Surveys.,Census-Income (KDD),,2000
"[Classification,  regression]",,IPUMS,,,,Text,,,,,256932,,,,Census data from the Los Angeles and Long Beach areas.,IPUMS Census Database,,1999
"[Classification,  regression]",,United States Census Bureau,,,,Text,,,,,2458285,,,,Partial data from 1990 US census.,US Census Data 1990,,1990
[Regression],,H. Fanaee-T,,,,Text,,,,,17389,,,,Hourly and daily count of rental bikes in a large city.,Bike Sharing Dataset,,2013
"[Classification,  clustering]",,New York City Taxi and Limousine Commission,,,,Text,,,,,6 years,,,,Trip data for yellow and green taxis in New York City.,New York City Taxi Trip Data,,2015
"[Clustering,  causal-discovery]",,M. Ferreira et al.,,,,Text,,,,,1710671,,,,Trajectories of all taxis in a large city.,Taxi Service Trajectory ECML PKDD,,2015
"[clustering,  classification]",,V. Granville,,,,Text,,,,,3.5B,,,,Large collection of webpages and how they are connected via hyperlinks,Webpages from Common Crawl 2012,,2013
[Classification],,N. Kushmerick,,,,Text,,,,,3279,,,,Dataset for predicting if a given image is an advertisement or not.,Internet Advertisements Dataset,,1998
"[Classification,  clustering]",,D. Cook,,,,Text,,,,,10104,,,,General demographics of internet users.,Internet Usage Dataset,,1999
[Classification],,J. Ma,,,,Text,,,,,2396130,,,,120 days of URL data from a large conference.,URL Dataset,,2009
[Classification],,R. Mustafa et al.,,,,Text,,,,,2456,,,,Dataset of phishing websites.,Phishing Websites Dataset,,2015
"[Classification,  clustering]",,D. Chen,,,,Text,,,,,541909,,,,Online transactions for a UK online retailer.,Online Retail Dataset,,2015
"[Classification,  clustering]",,Freebase,,,,Text,,,,,large,,,,Freebase is an online effort to structure all human knowledge.,Freebase Simple Topic Dump,,2011
[Classification],,C. Masterharm et al.,,,,Text,,,,,4143,,,,The text of farm ads from websites. Binary approval or disapproval by content owners is given.,Farm Ads Dataset,,2011
"[Regression,  classification]",,R. Cattral,,,,Text,,,,,1025010,,,,5 card hands from a standard 52 card deck.,Poker Hand Dataset,,2007
[Classification],,J. Tromp,,,,Text,,,,,67557,,,,"Contains all legal 8-ply positions in the game of connect-4 in which neither player has won yet, and in which the next move is not forced.",Connect-4 Dataset,,1995
[Classification],,M. Bain et al.,,,,Text,,,,,28056,,,,Endgame Database for White King and Rook against Black King.,Chess (King-Rook vs. King) Dataset,,1994
[Classification],,R. Holte,,,,Text,,,,,3196,,,,King+Rook versus King+Pawn on a7.,Chess (King-Rook vs. King-Pawn) Dataset,,1989
[Classification],,D. Aha,,,,Text,,,,,958,,,,Binary classification for win conditions in tic-tac-toe.,Tic-Tac-Toe Endgame Dataset,,1991
[Regression],,D. Harrison et al.,,,,Text,,,,,506,,,,Median home values of Boston with associated home and neighborhood attributes.,Housing Data Set,,1993
[Classification],,Getty Center,,,,Text,,,,,large,,,,"structured terminology for art and other material culture, archival materials, visual surrogates, and bibliographic materials.",The Getty Vocabularies,,2015
"[Regression,  clustering]",,Chu et al.,,,,Text,,,,,"45,811,883 user visits",,,,User click log for news articles displayed in the Featured Tab of the Today Module on Yahoo! Front Page.,Yahoo! Front Page Today Module User Click Log,,2009
"[Regression,  clustering]",,British Oceanographic Data Centre,,,,Text,,,,,"22K variables, many instances",,,,"Biological, chemical, physical and geophysical data for oceans. 22K variables tracked.",British Oceanographic Data Centre,,2015
[Classification],,J. Schlimmer,,,,Text,,,,,435,,,,Voting data for all USA representatives on 16 issues.,Congressional Voting Records Dataset,,1987
"[Regression,  recommendation]",,R. Burke,,,,Text,,,,,50672,,,,Record of user interactions with Entree Chicago recommendation system.,Entree Chicago Recommendation Dataset,,2000
"[Regression,  classification]",,P. van der Putten,,,,Text,,,,,9000,,,,Information on customers of an insurance company.,Insurance Company Benchmark (COIL 2000),,2000
[Classification],,V. Rajkovic et al.,,,,Text,,,,,12960,,,,Data from applicants to nursery schools.,Nursery Dataset,,1997
"[Clustering,  classification]",,S. Sounders et al.,,,,Text,,,,,285,,,,Data describing attributed of a large number of universities.,University Dataset,,1988
[Classification],,I. Yeh,,,,Text,,,,,748,,,,"Data from blood transfusion service center. Gives data on donors return rate, frequency, etc.",Blood Transfusion Service Center Dataset,,2008
[Classification],,University of Mainz,,,,Text,,,,,5749132,,,,Large dataset of records. Task is to link relevant records together.,Record Linkage Comparison Patterns Dataset,,2011
[Classification],,Nomao Labs,,,,Text,,,,,34465,,,,Nomao collects data about places from many different sources. Task is to detect items that describe the same place.,Nomao Dataset,,2012
"[Clustering,  classification]",,G. Wiederhold,,,,Text,,,,,10000,,,,"Data for 10,000 movies.",Movie Dataset,,1999
"[Classification,  clustering,  regression]",,J. Kuzilek et al.,,,,Text,,,,,"~ 30,000",,,,Information about students and their interactions with a virtual learning environment.,Open University Learning Analytics Dataset,,2015
